xR,f_HI,f_HI_siglow,f_HI_sighi,M_HI,M_HI_siglow,M_HI_sighi,f_CII,f_CII_siglow,f_CII_sighi,M_CII,M_CII_siglow,M_CII_sighi,f_CIV,f_CIV_siglow,f_CIV_sighi,M_CIV,M_CIV_siglow,M_CIV_sighi,f_SiII,f_SiII_siglow,f_SiII_sighi,M_SiII,M_SiII_siglow,M_SiII_sighi,f_SiIII,f_SiIII_siglow,f_SiIII_sighi,M_SiIII,M_SiIII_siglow,M_SiIII_sighi,f_SiIV,f_SiIV_siglow,f_SiIV_sighi,M_SiIV,M_SiIV_siglow,M_SiIV_sighi
0.15094718090739434,0.27285714285714285,-0.10142857142857145,0.10999999999999999,14191.77,-7464.65,15605.47,0.10142857142857142,-0.03428571428571428,0.04571428571428571,3519.36,-1173.13,1688.51,0.13285714285714284,-0.03428571428571428,0.04428571428571432,2929.35,-708.17,912.3,0.055714285714285716,-0.012857142857142859,0.01714285714285714,408.61,-74.13,85.67,0.15999999999999998,-0.039999999999999994,0.051428571428571435,889.83,-199.8,253.07,0.07857142857142857,-0.025714285714285717,0.037142857142857144,609.3,-153.08,208.24
0.1546479347477305,0.2871428571428571,-0.10571428571428568,0.11285714285714282,14938.81,-7818.92,16275.99,0.10857142857142855,-0.0357142857142857,0.048571428571428585,3752.78,-1245.59,1780.29,0.1414285714285714,-0.0357142857142857,0.04571428571428576,3114.3,-747.86,959.23,0.06,-0.014285714285714277,0.018571428571428572,438.34,-78.75,90.75,0.16999999999999998,-0.042857142857142844,0.05428571428571427,942.94,-209.44,265.65,0.0842857142857143,-0.02714285714285715,0.039999999999999994,651.46,-162.83,220.19
0.15843941952391075,0.3014285714285714,-0.10999999999999999,0.1171428571428571,15693.75,-8184.03,16893.66,0.11571428571428571,-0.037142857142857144,0.051428571428571435,3987.42,-1314.99,1874.74,0.15,-0.037142857142857144,0.04714285714285718,3298.9,-784.82,1003.71,0.06428571428571428,-0.01571428571428571,0.020000000000000018,468.81,-83.44,95.64,0.18,-0.04428571428571426,0.05571428571428569,996.89,-220.06,277.4,0.08999999999999998,-0.028571428571428553,0.042857142857142885,694.1,-172.25,232.7
0.1623238596753533,0.31571428571428567,-0.1128571428571428,0.12,16445.09,-8534.2,17461.88,0.12285714285714286,-0.039999999999999994,0.0542857142857143,4225.68,-1385.13,1963.23,0.15857142857142856,-0.04000000000000001,0.05000000000000002,3483.76,-821.88,1051.41,0.06857142857142857,-0.017142857142857154,0.020000000000000004,500.05,-88.04,100.36,0.18999999999999997,-0.04571428571428571,0.05714285714285716,1050.36,-229.9,289.63,0.0957142857142857,-0.03142857142857142,0.04428571428571432,737.73,-182.38,245.4
0.16630353417778926,0.32999999999999996,-0.1171428571428571,0.12285714285714289,17174.68,-8872.79,18042.2,0.13,-0.04285714285714287,0.055714285714285716,4464.58,-1451.43,2057.44,0.16714285714285712,-0.04285714285714283,0.05285714285714285,3671.09,-858.16,1097.2,0.07285714285714286,-0.018571428571428572,0.020000000000000004,531.95,-92.68,105.21,0.19999999999999998,-0.047142857142857125,0.05857142857142858,1104.37,-239.72,300.87,0.10142857142857141,-0.03285714285714285,0.04571428571428572,781.99,-192.23,257.98
0.1703807778803232,0.34285714285714286,-0.12,0.12571428571428567,17890.75,-9193.0,18614.02,0.13714285714285715,-0.04428571428571429,0.057142857142857106,4710.56,-1520.35,2150.3,0.1757142857142857,-0.04428571428571429,0.05428571428571427,3860.16,-893.97,1138.6,0.07714285714285714,-0.020000000000000004,0.01999999999999999,564.61,-97.3,110.44,0.21,-0.04999999999999999,0.061428571428571416,1158.9,-250.36,310.96,0.10857142857142855,-0.03428571428571427,0.04714285714285717,827.1,-201.96,270.24
0.1745579828752737,0.35714285714285715,-0.12285714285714286,0.12714285714285706,18602.0,-9505.03,19111.9,0.1442857142857143,-0.045714285714285735,0.05999999999999997,4959.86,-1590.97,2243.24,0.18428571428571427,-0.04571428571428571,0.05571428571428569,4047.24,-929.17,1187.38,0.08285714285714287,-0.020000000000000018,0.021428571428571408,598.02,-101.98,115.61,0.21999999999999997,-0.05285714285714285,0.06285714285714289,1213.11,-259.77,322.64,0.11428571428571428,-0.03571428571428571,0.05,872.59,-211.93,282.58
0.17883759990159837,0.37,-0.12571428571428572,0.1285714285714285,19291.56,-9790.37,19640.29,0.1514285714285714,-0.04714285714285714,0.06285714285714286,5210.41,-1655.91,2329.61,0.19285714285714284,-0.047142857142857125,0.05714285714285716,4241.51,-966.87,1226.68,0.08714285714285715,-0.020000000000000018,0.02285714285714284,632.56,-106.87,120.45,0.22999999999999998,-0.05428571428571427,0.06428571428571428,1266.78,-267.9,333.66,0.12,-0.03714285714285713,0.05285714285714285,919.36,-221.99,294.96
0.18322213978272653,0.38285714285714284,-0.12857142857142861,0.1314285714285714,19967.48,-10078.49,20153.37,0.15857142857142856,-0.04857142857142857,0.06428571428571425,5464.6,-1724.48,2416.22,0.2014285714285714,-0.04857142857142854,0.05857142857142861,4434.35,-1003.43,1267.06,0.09285714285714286,-0.020000000000000018,0.024285714285714285,667.37,-111.26,125.96,0.23999999999999996,-0.05571428571428569,0.06571428571428575,1320.52,-276.12,345.67,0.12571428571428572,-0.038571428571428576,0.05428571428571427,966.91,-232.08,307.27
0.18771417489964282,0.3957142857142857,-0.13142857142857145,0.1328571428571429,20655.38,-10370.32,20641.41,0.1657142857142857,-0.05142857142857142,0.06571428571428573,5722.67,-1794.1,2505.62,0.21,-0.04999999999999999,0.061428571428571416,4629.6,-1039.88,1306.77,0.09714285714285713,-0.01999999999999999,0.02571428571428573,703.31,-116.01,131.3,0.25,-0.05714285714285716,0.06714285714285712,1374.95,-284.62,356.11,0.13142857142857142,-0.041428571428571426,0.055714285714285716,1015.81,-242.24,319.8
